video_id,augmented,env,band,sequence_path,low_quality,valid_ratio,mean_visibility,longest_dropout,split
Backside-8767-14,False,indoor,1_2,processed_videos\sequences\Backside-8767-14__indoor__1_2.npz,False,1.0,0.8017249703407288,0,val
Backside-8767-14,True,indoor,1_2,processed_videos\sequences\Backside-8767-14__gaussian__indoor__1_2.npz,False,1.0,0.8017249703407288,0,val
Backside-8767-14,True,indoor,1_2,processed_videos\sequences\Backside-8767-14__timewarp__indoor__1_2.npz,False,1.0,0.8017249703407288,0,val
Backside-8767-14,True,indoor,1_2,processed_videos\sequences\Backside-8767-14__jitter__indoor__1_2.npz,False,1.0,0.8017249703407288,0,val
Backside-8767-14,True,indoor,1_2,processed_videos\sequences\Backside-8767-14__dropout__indoor__1_2.npz,False,1.0,0.8017249703407288,0,val
Backside-8767-16,False,indoor,1_2,processed_videos\sequences\Backside-8767-16__indoor__1_2.npz,False,1.0,0.7527834971745809,0,test
Backside-8767-16,True,indoor,1_2,processed_videos\sequences\Backside-8767-16__gaussian__indoor__1_2.npz,False,1.0,0.7527834971745809,0,test
Backside-8767-16,True,indoor,1_2,processed_videos\sequences\Backside-8767-16__timewarp__indoor__1_2.npz,False,1.0,0.7527834971745809,0,test
Backside-8767-16,True,indoor,1_2,processed_videos\sequences\Backside-8767-16__jitter__indoor__1_2.npz,False,1.0,0.7527834971745809,0,test
Backside-8767-16,True,indoor,1_2,processed_videos\sequences\Backside-8767-16__dropout__indoor__1_2.npz,False,1.0,0.7527834971745809,0,test
Backside-8767-17,False,indoor,1_2,processed_videos\sequences\Backside-8767-17__indoor__1_2.npz,False,1.0,0.8299671510855356,0,test
Backside-8767-17,True,indoor,1_2,processed_videos\sequences\Backside-8767-17__gaussian__indoor__1_2.npz,False,1.0,0.8299671510855356,0,test
Backside-8767-17,True,indoor,1_2,processed_videos\sequences\Backside-8767-17__timewarp__indoor__1_2.npz,False,1.0,0.8299671510855356,0,test
Backside-8767-17,True,indoor,1_2,processed_videos\sequences\Backside-8767-17__jitter__indoor__1_2.npz,False,1.0,0.8299671510855356,0,test
Backside-8767-17,True,indoor,1_2,processed_videos\sequences\Backside-8767-17__dropout__indoor__1_2.npz,False,1.0,0.8299671510855356,0,test
Side-6020-15,False,indoor,1_2,processed_videos\sequences\Side-6020-15__indoor__1_2.npz,False,1.0,0.9148423274358114,0,train
Side-6020-15,True,indoor,1_2,processed_videos\sequences\Side-6020-15__gaussian__indoor__1_2.npz,False,1.0,0.9148423274358114,0,train
Side-6020-15,True,indoor,1_2,processed_videos\sequences\Side-6020-15__timewarp__indoor__1_2.npz,False,1.0,0.9148423274358114,0,train
Side-6020-15,True,indoor,1_2,processed_videos\sequences\Side-6020-15__jitter__indoor__1_2.npz,False,1.0,0.9148423274358114,0,train
Side-6020-15,True,indoor,1_2,processed_videos\sequences\Side-6020-15__dropout__indoor__1_2.npz,False,1.0,0.9148423274358114,0,train
Side-6020-7,False,indoor,1_2,processed_videos\sequences\Side-6020-7__indoor__1_2.npz,False,1.0,0.9346761306126913,0,train
Side-6020-7,True,indoor,1_2,processed_videos\sequences\Side-6020-7__gaussian__indoor__1_2.npz,False,1.0,0.9346761306126913,0,train
Side-6020-7,True,indoor,1_2,processed_videos\sequences\Side-6020-7__timewarp__indoor__1_2.npz,False,1.0,0.9346761306126913,0,train
Side-6020-7,True,indoor,1_2,processed_videos\sequences\Side-6020-7__jitter__indoor__1_2.npz,False,1.0,0.9346761306126913,0,train
Side-6020-7,True,indoor,1_2,processed_videos\sequences\Side-6020-7__dropout__indoor__1_2.npz,False,1.0,0.9346761306126913,0,train
Side-6020-9,False,indoor,1_2,processed_videos\sequences\Side-6020-9__indoor__1_2.npz,False,1.0,0.936997652053833,0,val
Side-6020-9,True,indoor,1_2,processed_videos\sequences\Side-6020-9__gaussian__indoor__1_2.npz,False,1.0,0.936997652053833,0,val
Side-6020-9,True,indoor,1_2,processed_videos\sequences\Side-6020-9__timewarp__indoor__1_2.npz,False,1.0,0.936997652053833,0,val
Side-6020-9,True,indoor,1_2,processed_videos\sequences\Side-6020-9__jitter__indoor__1_2.npz,False,1.0,0.936997652053833,0,val
Side-6020-9,True,indoor,1_2,processed_videos\sequences\Side-6020-9__dropout__indoor__1_2.npz,False,1.0,0.936997652053833,0,val
Backside-8767-2,False,indoor,2_4,processed_videos\sequences\Backside-8767-2__indoor__2_4.npz,False,1.0,0.8534438113371531,0,test
Backside-8767-2,True,indoor,2_4,processed_videos\sequences\Backside-8767-2__gaussian__indoor__2_4.npz,False,1.0,0.8534438113371531,0,test
Backside-8767-2,True,indoor,2_4,processed_videos\sequences\Backside-8767-2__timewarp__indoor__2_4.npz,False,1.0,0.8534438113371531,0,test
Backside-8767-2,True,indoor,2_4,processed_videos\sequences\Backside-8767-2__jitter__indoor__2_4.npz,False,1.0,0.8534438113371531,0,test
Backside-8767-2,True,indoor,2_4,processed_videos\sequences\Backside-8767-2__dropout__indoor__2_4.npz,False,1.0,0.8534438113371531,0,test
Backside-8767-3,False,indoor,2_4,processed_videos\sequences\Backside-8767-3__indoor__2_4.npz,False,1.0,0.8367832203706106,0,train
Backside-8767-3,True,indoor,2_4,processed_videos\sequences\Backside-8767-3__gaussian__indoor__2_4.npz,False,1.0,0.8367832203706106,0,train
Backside-8767-3,True,indoor,2_4,processed_videos\sequences\Backside-8767-3__timewarp__indoor__2_4.npz,False,1.0,0.8367832203706106,0,train
Backside-8767-3,True,indoor,2_4,processed_videos\sequences\Backside-8767-3__jitter__indoor__2_4.npz,False,1.0,0.8367832203706106,0,train
Backside-8767-3,True,indoor,2_4,processed_videos\sequences\Backside-8767-3__dropout__indoor__2_4.npz,False,1.0,0.8367832203706106,0,train
Side-6020-2,False,indoor,2_4,processed_videos\sequences\Side-6020-2__indoor__2_4.npz,False,1.0,0.9585912227630615,0,train
Side-6020-2,True,indoor,2_4,processed_videos\sequences\Side-6020-2__gaussian__indoor__2_4.npz,False,1.0,0.9585912227630615,0,train
Side-6020-2,True,indoor,2_4,processed_videos\sequences\Side-6020-2__timewarp__indoor__2_4.npz,False,1.0,0.9585912227630615,0,train
Side-6020-2,True,indoor,2_4,processed_videos\sequences\Side-6020-2__jitter__indoor__2_4.npz,False,1.0,0.9585912227630615,0,train
Side-6020-2,True,indoor,2_4,processed_videos\sequences\Side-6020-2__dropout__indoor__2_4.npz,False,1.0,0.9585912227630615,0,train
Side-6020-3,False,indoor,2_4,processed_videos\sequences\Side-6020-3__indoor__2_4.npz,False,1.0,0.9570462306340536,0,train
Side-6020-3,True,indoor,2_4,processed_videos\sequences\Side-6020-3__gaussian__indoor__2_4.npz,False,1.0,0.9570462306340536,0,train
Side-6020-3,True,indoor,2_4,processed_videos\sequences\Side-6020-3__timewarp__indoor__2_4.npz,False,1.0,0.9570462306340536,0,train
Side-6020-3,True,indoor,2_4,processed_videos\sequences\Side-6020-3__jitter__indoor__2_4.npz,False,1.0,0.9570462306340536,0,train
Side-6020-3,True,indoor,2_4,processed_videos\sequences\Side-6020-3__dropout__indoor__2_4.npz,False,1.0,0.9570462306340536,0,train
Backside-8767-4,False,indoor,4_6,processed_videos\sequences\Backside-8767-4__indoor__4_6.npz,False,1.0,0.7766535530487696,0,train
Backside-8767-4,True,indoor,4_6,processed_videos\sequences\Backside-8767-4__gaussian__indoor__4_6.npz,False,1.0,0.7766535530487696,0,train
Backside-8767-4,True,indoor,4_6,processed_videos\sequences\Backside-8767-4__timewarp__indoor__4_6.npz,False,1.0,0.7766535530487696,0,train
Backside-8767-4,True,indoor,4_6,processed_videos\sequences\Backside-8767-4__jitter__indoor__4_6.npz,False,1.0,0.7766535530487696,0,train
Backside-8767-4,True,indoor,4_6,processed_videos\sequences\Backside-8767-4__dropout__indoor__4_6.npz,False,1.0,0.7766535530487696,0,train
Backside-8767-5,False,indoor,4_6,processed_videos\sequences\Backside-8767-5__indoor__4_6.npz,False,1.0,0.8106350749731064,0,train
Backside-8767-5,True,indoor,4_6,processed_videos\sequences\Backside-8767-5__gaussian__indoor__4_6.npz,False,1.0,0.8106350749731064,0,train
Backside-8767-5,True,indoor,4_6,processed_videos\sequences\Backside-8767-5__timewarp__indoor__4_6.npz,False,1.0,0.8106350749731064,0,train
Backside-8767-5,True,indoor,4_6,processed_videos\sequences\Backside-8767-5__jitter__indoor__4_6.npz,False,1.0,0.8106350749731064,0,train
Backside-8767-5,True,indoor,4_6,processed_videos\sequences\Backside-8767-5__dropout__indoor__4_6.npz,False,1.0,0.8106350749731064,0,train
Backside-8767-6,False,indoor,4_6,processed_videos\sequences\Backside-8767-6__indoor__4_6.npz,False,1.0,0.825407495101293,0,train
Backside-8767-6,True,indoor,4_6,processed_videos\sequences\Backside-8767-6__gaussian__indoor__4_6.npz,False,1.0,0.825407495101293,0,train
Backside-8767-6,True,indoor,4_6,processed_videos\sequences\Backside-8767-6__timewarp__indoor__4_6.npz,False,1.0,0.825407495101293,0,train
Backside-8767-6,True,indoor,4_6,processed_videos\sequences\Backside-8767-6__jitter__indoor__4_6.npz,False,1.0,0.825407495101293,0,train
Backside-8767-6,True,indoor,4_6,processed_videos\sequences\Backside-8767-6__dropout__indoor__4_6.npz,False,1.0,0.825407495101293,0,train
Side-6016-18,False,indoor,4_6,processed_videos\sequences\Side-6016-18__indoor__4_6.npz,False,1.0,0.8588826457659403,0,val
Side-6016-18,True,indoor,4_6,processed_videos\sequences\Side-6016-18__gaussian__indoor__4_6.npz,False,1.0,0.8588826457659403,0,val
Side-6016-18,True,indoor,4_6,processed_videos\sequences\Side-6016-18__timewarp__indoor__4_6.npz,False,1.0,0.8588826457659403,0,val
Side-6016-18,True,indoor,4_6,processed_videos\sequences\Side-6016-18__jitter__indoor__4_6.npz,False,1.0,0.8588826457659403,0,val
Side-6016-18,True,indoor,4_6,processed_videos\sequences\Side-6016-18__dropout__indoor__4_6.npz,False,1.0,0.8588826457659403,0,val
Side-6020-6,False,indoor,4_6,processed_videos\sequences\Side-6020-6__indoor__4_6.npz,False,1.0,0.9349982539812723,0,val
Side-6020-6,True,indoor,4_6,processed_videos\sequences\Side-6020-6__gaussian__indoor__4_6.npz,False,1.0,0.9349982539812723,0,val
Side-6020-6,True,indoor,4_6,processed_videos\sequences\Side-6020-6__timewarp__indoor__4_6.npz,False,1.0,0.9349982539812723,0,val
Side-6020-6,True,indoor,4_6,processed_videos\sequences\Side-6020-6__jitter__indoor__4_6.npz,False,1.0,0.9349982539812723,0,val
Side-6020-6,True,indoor,4_6,processed_videos\sequences\Side-6020-6__dropout__indoor__4_6.npz,False,1.0,0.9349982539812723,0,val
Side-6020-8,False,indoor,4_6,processed_videos\sequences\Side-6020-8__indoor__4_6.npz,False,1.0,0.9411819875240326,0,train
Side-6020-8,True,indoor,4_6,processed_videos\sequences\Side-6020-8__gaussian__indoor__4_6.npz,False,1.0,0.9411819875240326,0,train
Side-6020-8,True,indoor,4_6,processed_videos\sequences\Side-6020-8__timewarp__indoor__4_6.npz,False,1.0,0.9411819875240326,0,train
Side-6020-8,True,indoor,4_6,processed_videos\sequences\Side-6020-8__jitter__indoor__4_6.npz,False,1.0,0.9411819875240326,0,train
Side-6020-8,True,indoor,4_6,processed_videos\sequences\Side-6020-8__dropout__indoor__4_6.npz,False,1.0,0.9411819875240326,0,train
Backside-8751-3,False,indoor,6_8,processed_videos\sequences\Backside-8751-3__indoor__6_8.npz,False,1.0,0.8554388781388601,0,val
Backside-8751-3,True,indoor,6_8,processed_videos\sequences\Backside-8751-3__gaussian__indoor__6_8.npz,False,1.0,0.8554388781388601,0,val
Backside-8751-3,True,indoor,6_8,processed_videos\sequences\Backside-8751-3__timewarp__indoor__6_8.npz,False,1.0,0.8554388781388601,0,val
Backside-8751-3,True,indoor,6_8,processed_videos\sequences\Backside-8751-3__jitter__indoor__6_8.npz,False,1.0,0.8554388781388601,0,val
Backside-8751-3,True,indoor,6_8,processed_videos\sequences\Backside-8751-3__dropout__indoor__6_8.npz,False,1.0,0.8554388781388601,0,val
Backside-8751-5,False,indoor,6_8,processed_videos\sequences\Backside-8751-5__indoor__6_8.npz,False,1.0,0.8522927363713583,0,train
Backside-8751-5,True,indoor,6_8,processed_videos\sequences\Backside-8751-5__gaussian__indoor__6_8.npz,False,1.0,0.8522927363713583,0,train
Backside-8751-5,True,indoor,6_8,processed_videos\sequences\Backside-8751-5__timewarp__indoor__6_8.npz,False,1.0,0.8522927363713583,0,train
Backside-8751-5,True,indoor,6_8,processed_videos\sequences\Backside-8751-5__jitter__indoor__6_8.npz,False,1.0,0.8522927363713583,0,train
Backside-8751-5,True,indoor,6_8,processed_videos\sequences\Backside-8751-5__dropout__indoor__6_8.npz,False,1.0,0.8522927363713583,0,train
Backside-8751-6,False,indoor,6_8,processed_videos\sequences\Backside-8751-6__indoor__6_8.npz,False,1.0,0.8524371186892191,0,train
Backside-8751-6,True,indoor,6_8,processed_videos\sequences\Backside-8751-6__gaussian__indoor__6_8.npz,False,1.0,0.8524371186892191,0,train
Backside-8751-6,True,indoor,6_8,processed_videos\sequences\Backside-8751-6__timewarp__indoor__6_8.npz,False,1.0,0.8524371186892191,0,train
Backside-8751-6,True,indoor,6_8,processed_videos\sequences\Backside-8751-6__jitter__indoor__6_8.npz,False,1.0,0.8524371186892191,0,train
Backside-8751-6,True,indoor,6_8,processed_videos\sequences\Backside-8751-6__dropout__indoor__6_8.npz,False,1.0,0.8524371186892191,0,train
Side-6016-4,False,indoor,6_8,processed_videos\sequences\Side-6016-4__indoor__6_8.npz,False,1.0,0.9235972464084625,0,train
Side-6016-4,True,indoor,6_8,processed_videos\sequences\Side-6016-4__gaussian__indoor__6_8.npz,False,1.0,0.9235972464084625,0,train
Side-6016-4,True,indoor,6_8,processed_videos\sequences\Side-6016-4__timewarp__indoor__6_8.npz,False,1.0,0.9235972464084625,0,train
Side-6016-4,True,indoor,6_8,processed_videos\sequences\Side-6016-4__jitter__indoor__6_8.npz,False,1.0,0.9235972464084625,0,train
Side-6016-4,True,indoor,6_8,processed_videos\sequences\Side-6016-4__dropout__indoor__6_8.npz,False,1.0,0.9235972464084625,0,train
Side-6016-5,False,indoor,6_8,processed_videos\sequences\Side-6016-5__indoor__6_8.npz,False,1.0,0.9320874810218811,0,train
Side-6016-5,True,indoor,6_8,processed_videos\sequences\Side-6016-5__gaussian__indoor__6_8.npz,False,1.0,0.9320874810218811,0,train
Side-6016-5,True,indoor,6_8,processed_videos\sequences\Side-6016-5__timewarp__indoor__6_8.npz,False,1.0,0.9320874810218811,0,train
Side-6016-5,True,indoor,6_8,processed_videos\sequences\Side-6016-5__jitter__indoor__6_8.npz,False,1.0,0.9320874810218811,0,train
Side-6016-5,True,indoor,6_8,processed_videos\sequences\Side-6016-5__dropout__indoor__6_8.npz,False,1.0,0.9320874810218811,0,train
Side-6016-6,False,indoor,6_8,processed_videos\sequences\Side-6016-6__indoor__6_8.npz,False,1.0,0.907014528910319,0,train
Side-6016-6,True,indoor,6_8,processed_videos\sequences\Side-6016-6__gaussian__indoor__6_8.npz,False,1.0,0.907014528910319,0,train
Side-6016-6,True,indoor,6_8,processed_videos\sequences\Side-6016-6__timewarp__indoor__6_8.npz,False,1.0,0.907014528910319,0,train
Side-6016-6,True,indoor,6_8,processed_videos\sequences\Side-6016-6__jitter__indoor__6_8.npz,False,1.0,0.907014528910319,0,train
Side-6016-6,True,indoor,6_8,processed_videos\sequences\Side-6016-6__dropout__indoor__6_8.npz,False,1.0,0.907014528910319,0,train
